productName,price,gps,connectivity,heartRateMonitor,operatingSystem,touchScreen,batteryLife,builtInStorage,imageUrl
Samsung Galaxy Watch Ultra 47mm,$424.71,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3121449898/Samsung-Galaxy-Watch-Ultra-47mm.jpg?ph:true
Samsung Galaxy Watch7 44mm BT,$247.48,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3121548304/Samsung-Galaxy-Watch7-44mm-BT.jpg?ph:true
Samsung Galaxy Watch7 40mm BT,$202.60,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3121558837/Samsung-Galaxy-Watch7-40mm-BT.jpg?ph:true
Samsung Galaxy Watch6 40mm BT,$149.99,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012361948/Samsung-Galaxy-Watch6-40mm-BT.jpg?ph:true
Samsung Galaxy Watch6 Classic 47mm BT,$199.95,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012361134/Samsung-Galaxy-Watch6-Classic-47mm-BT.jpg?ph:true
Samsung Galaxy Watch6 44mm BT,$159.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012344487/Samsung-Galaxy-Watch6-44mm-BT.jpg?ph:true
Samsung Galaxy Watch7 44mm LTE,$255.71,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3121450005/Samsung-Galaxy-Watch7-44mm-LTE.jpg?ph:true
Samsung Galaxy Watch 5 40mm,$142.98,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3005891618/Samsung-Galaxy-Watch-5-40mm.jpg?ph:true
Samsung Galaxy Watch FE 40mm BT,$124.62,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3117749441/Samsung-Galaxy-Watch-FE-40mm-BT.jpg?ph:true
Samsung Galaxy Watch 4 40mm Bluetooth,$119.99,False,"Wi-Fi, Bluetooth",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002519148/Samsung-Galaxy-Watch-4-40mm-Bluetooth.jpg?ph:true
Samsung Galaxy Watch7 40mm LTE,$257.76,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3121564006/Samsung-Galaxy-Watch7-40mm-LTE.jpg?ph:true
Samsung Galaxy Watch 5 Pro 45mm,$219.49,False,"Wi-Fi, 3G, 4G, Bluetooth",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3005891631/Samsung-Galaxy-Watch-5-Pro-45mm.jpg?ph:true
Samsung Galaxy Watch6 Classic 47mm 4G,$269.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012344275/Samsung-Galaxy-Watch6-Classic-47mm-4G.jpg?ph:true
Samsung Galaxy Watch 4 Classic 46mm Bluetooth,$118.88,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002519108/Samsung-Galaxy-Watch-4-Classic-46mm-Bluetooth.jpg?ph:true
Samsung Galaxy Watch6 Classic 43mm BT,$164.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012360636/Samsung-Galaxy-Watch6-Classic-43mm-BT.jpg?ph:true
Samsung Galaxy Watch6 44mm 4G,$219.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012354546/Samsung-Galaxy-Watch6-44mm-4G.jpg?ph:true
Samsung Galaxy Watch 5 44mm,$232.52,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3005891599/Samsung-Galaxy-Watch-5-44mm.jpg?ph:true
Samsung Galaxy Watch 42mm Bluetooth,$127.85,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/1864776659/Samsung-Galaxy-Watch-42mm-Bluetooth.jpg?ph:true
Samsung Galaxy Watch 5 Pro 45mm LTE,$256.51,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3005891631/Samsung-Galaxy-Watch-5-Pro-45mm-LTE.jpg?ph:true
Samsung Galaxy Watch6 Classic 43mm 4G,$289.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012344504/Samsung-Galaxy-Watch6-Classic-43mm-4G.jpg?ph:true
Samsung Galaxy Watch6 40mm 4G,$199.99,False,"Wi-Fi 1 (802.11b), Wi-Fi 4 (802.11n), Wi-Fi 3 (802.11g), Wi-Fi 2 (802.11a)",N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3012344436/Samsung-Galaxy-Watch6-40mm-4G.jpg?ph:true
Samsung Galaxy Watch Active 2 40mm LTE Stainless Steel,$97.99,False,Wi-Fi 4 (802.11n),N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/1906939826/Samsung-Galaxy-Watch-Active-2-40mm-LTE-Stainless-Steel.jpg?ph:true
Samsung Galaxy Watch 4 44mm Bluetooth,$129.99,False,Wi-Fi,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002519421/Samsung-Galaxy-Watch-4-44mm-Bluetooth.jpg?ph:true
Samsung Galaxy Watch 4 Classic 42mm Bluetooth,$159.99,False,Wi-Fi,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002523058/Samsung-Galaxy-Watch-4-Classic-42mm-Bluetooth.jpg?ph:true
Samsung Galaxy Watch 5 40mm LTE,$250.49,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3005891618/Samsung-Galaxy-Watch-5-40mm-LTE.jpg?ph:true
Samsung Galaxy Watch 4 40mm LTE,$149.00,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002518975/Samsung-Galaxy-Watch-4-40mm-LTE.jpg?ph:true
Samsung Galaxy Watch 4 44mm LTE,$149.99,False,N/A,N/A,N/A,Yes,N/A,4GB,https://owp.klarna.com/product/252x252/3002519263/Samsung-Galaxy-Watch-4-44mm-LTE.jpg?ph:true
